2017-08-02 17:56:49 [info] BaseTimerRunner | Hiding window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:56:49 [info] BaseTimerRunner | Hiding window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 17:56:49 [info] BaseTimerRunner | Hiding window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 17:56:49 [info] BaseTimerRunner | Hiding window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 17:56:49 [info] BaseTimerRunner | Hiding window::powershell:::Select Windows PowerShell
2017-08-02 17:56:49 [info] BaseTimerRunner | Hiding window::chrome:::New Tab - Google Chrome
2017-08-02 17:56:49 [info] BaseTimerRunner | Hiding window::wmplayer:::Windows Media Player
2017-08-02 17:56:49 [info] BaseTimerRunner | Hiding window::explorer:::eyetrack
2017-08-02 17:56:50 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:57:02 [info] BaseTimerRunner | Showing window::wmplayer:::Windows Media Player
2017-08-02 17:57:02 [info] BaseTimerRunner | Showing window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 17:57:02 [info] AnimatingTimerRunner | hiding window owned by process Eyeflow with animation
2017-08-02 17:57:11 [info] AnimatingTimerRunner | hiding window owned by process wmplayer with animation
2017-08-02 17:57:13 [info] BaseTimerRunner | Showing window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 17:57:13 [info] AnimatingTimerRunner | hiding window owned by process iexplore with animation
2017-08-02 17:57:20 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 17:57:21 [info] AnimatingTimerRunner | hiding window owned by process notepad++ with animation
2017-08-02 17:57:22 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 17:57:23 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 17:57:26 [info] BaseTimerRunner | Showing window::explorer:::Start
2017-08-02 17:57:26 [info] BaseTimerRunner | Showing window::explorer:::
2017-08-02 17:57:26 [info] BaseTimerRunner | Showing window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
2017-08-02 17:57:26 [info] BaseTimerRunner | Showing window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 17:57:26 [info] BaseTimerRunner | Showing window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 17:57:26 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 17:57:26 [info] BaseTimerRunner | Showing window::wmplayer:::Windows Media Player
2017-08-02 17:58:16 [info] Program | === Eyeflow started ===
2017-08-02 17:58:16 [info] BaseTimerRunner | BaseTimerRunner started
